number,sys_updated_at,reassigned,assigned_to,opened_by,subcategory,urgency,problem_id,resolved_by,location,reassignment_count,cmdb_ci,vendor,caused_by,incident_state,active,u_priority_confirmation,contact_type,rfc,assignment_group,knowledge,priority,closed_code,impact,category,u_symptom,D_sys_mod_count,D_reopen_count
INC0000086,2016-06-03 16:00:00,1,1,240,452,697,700,956,1177,1393,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1763,1777,1790,1839,2366,2368
INC0000087,2016-07-03 15:00:00,0,1,238,458,697,700,959,1178,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1,2365,2368
INC0000088,2016-05-03 10:00:00,0,1,238,455,697,1,964,1171,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1787,1847,2364,2368
INC0000089,2016-08-03 15:00:00,1,8,238,449,698,1,958,1172,1395,1,1,1,1479,1487,1488,1490,1,1685,1754,1758,1765,1777,1786,1852,2367,2368
INC0000092,2016-12-03 09:00:00,1,1,241,453,697,700,967,1179,1393,1,1,1,1479,1487,1488,1490,1,1693,1754,1756,1760,1777,1784,1844,2366,2368
INC0000093,2016-05-03 10:00:00,0,1,239,452,697,1,968,1171,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1763,1777,1791,1842,2363,2368
INC0000094,2016-10-03 10:45:00,0,12,242,454,698,1,969,1170,1392,1,1,1,1478,1486,1488,1490,1,1688,1754,1758,1764,1779,1786,1,2367,2368
INC0000098,2016-07-03 15:00:00,1,1,240,458,697,700,959,1172,1393,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1839,2366,2368
INC0000099,2016-06-03 10:00:00,1,17,238,452,697,1,970,1180,1393,1,1,1,1479,1487,1488,1490,1,1694,1754,1756,1767,1777,1790,1853,2365,2368
INC0000100,2016-07-03 15:00:00,0,1,241,453,697,700,959,1173,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2365,2368
INC0000101,2016-05-03 12:00:00,0,13,238,443,698,1,965,1168,1392,1,1,1,1479,1487,1488,1490,1,1689,1754,1758,1764,1777,1780,1855,2366,2368
INC0000102,2016-11-03 11:53:00,1,3,239,461,697,1,961,1174,1396,1,1,1,1481,1486,1488,1490,1,1680,1754,1756,1768,1777,1792,1856,2367,2368
INC0000103,2016-07-03 15:00:00,0,1,238,458,697,700,959,1172,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1,2365,2368
INC0000104,2016-06-03 12:00:00,1,17,238,447,697,1,970,1180,1393,1,1,1,1479,1487,1489,1490,1,1694,1754,1757,1764,1778,1784,1857,2366,2368
INC0000105,2016-05-03 12:00:00,1,1,238,463,697,1,971,1171,1393,1,1,1,1479,1487,1488,1490,1,1696,1754,1756,1769,1777,1786,1,2366,2368
INC0000110,2016-07-03 15:00:00,0,1,241,453,697,700,959,1172,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2365,2368
INC0000111,2016-07-03 15:00:00,0,1,238,464,697,700,959,1171,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2365,2368
INC0000112,2016-07-03 16:00:00,1,18,239,461,697,1,972,1171,1394,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1763,1777,1792,1856,2366,2368
INC0000113,2016-07-03 20:00:00,0,19,240,465,697,1,973,1170,1392,1,1,1,1479,1487,1488,1490,1,1679,1754,1756,1764,1777,1780,1,2365,2368
INC0000114,2016-08-03 02:00:00,1,1,238,458,697,700,974,1173,1393,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1763,1777,1784,1,2367,2368
INC0000115,2016-06-03 09:00:00,1,2,239,452,697,1,953,1173,1394,1,1,1,1479,1487,1488,1490,1,1678,1754,1756,1769,1777,1783,1858,2366,2368
INC0000116,2016-06-03 13:00:00,1,1,238,461,697,1,975,1172,1393,1,1,1,1479,1487,1488,1490,1,1698,1754,1756,1764,1777,1792,1853,2365,2368
INC0000119,2016-06-03 10:00:00,0,2,238,452,697,1,953,1173,1392,1,1,1,1479,1487,1488,1490,1,1678,1754,1756,1769,1777,1783,1839,2365,2368
INC0000121,2016-05-03 17:00:00,0,1,241,453,697,1,956,1171,1392,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1763,1777,1784,1839,2364,2368
INC0000122,2016-06-03 17:00:00,1,1,240,467,697,1,976,1181,1393,1,1,1,1479,1487,1488,1490,1,1699,1754,1756,1762,1777,1786,1860,2365,2368
INC0000123,2016-07-03 15:00:00,0,1,238,458,697,700,959,1172,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2365,2368
INC0000124,2016-05-03 12:00:00,0,20,241,453,697,1,977,1172,1392,1,1,1,1479,1487,1488,1490,1,1685,1754,1756,1763,1777,1784,1844,2365,2368
INC0000125,2016-06-03 09:00:00,1,21,239,452,697,700,978,1172,1393,1,1,1,1479,1487,1489,1490,1,1692,1754,1756,1766,1777,1783,1858,2366,2368
INC0000126,2016-07-03 15:00:00,0,1,238,468,697,700,959,1182,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2365,2368
INC0000128,2016-11-03 12:15:00,1,22,239,469,697,1,979,1183,1394,1,1,1,1478,1486,1488,1490,1,1700,1754,1756,1764,1777,1785,1847,2367,2368
INC0000129,2016-09-03 11:13:00,1,23,238,470,697,1,980,1176,1393,1,1,1,1481,1486,1488,1490,1,1687,1754,1756,1764,1777,1794,1847,2366,2368
INC0000130,2016-08-03 11:00:00,1,24,243,452,697,1,981,1170,1393,1,1,1,1479,1487,1488,1490,1,1701,1754,1756,1764,1777,1791,1844,2366,2368
INC0000131,2016-08-03 10:00:00,0,14,242,454,697,1,969,1185,1392,1,1,1,1479,1487,1488,1490,1,1688,1754,1756,1770,1777,1786,1842,2365,2368
INC0000132,2016-08-03 16:00:00,1,25,239,452,697,1,982,1170,1394,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1764,1777,1783,1842,2366,2368
INC0000134,2016-08-03 09:00:00,1,24,244,471,698,1,981,1170,1393,1,1,1,1479,1487,1488,1490,1,1701,1754,1758,1767,1779,1795,1842,2365,2368
INC0000135,2016-05-03 17:00:00,0,8,241,453,697,1,983,1170,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1769,1777,1784,1844,2366,2368
INC0000137,2016-05-03 12:00:00,0,1,240,456,697,1,966,1180,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1788,1844,2365,2368
INC0000139,2016-06-03 10:00:00,1,1,239,472,697,1,959,1170,1393,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1764,1777,1784,1847,2366,2368
INC0000140,2016-08-03 12:00:00,1,5,238,452,697,1,955,1186,1393,1,1,1,1479,1487,1488,1490,1,1679,1754,1756,1764,1777,1783,1861,2366,2368
INC0000141,2016-07-03 15:00:00,0,1,241,453,697,700,959,1171,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2365,2368
INC0000146,2016-07-03 15:00:00,0,1,240,458,697,700,959,1187,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1862,2365,2368
INC0000147,2016-08-03 13:32:00,1,5,241,453,697,700,955,1188,1393,1,1,1,1480,1486,1488,1490,1,1679,1754,1756,1760,1777,1784,1844,2366,2368
INC0000148,2016-07-03 16:00:00,0,1,244,468,697,700,959,1171,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1765,1777,1784,1844,2365,2368
INC0000149,2016-07-03 16:00:00,0,1,243,468,697,700,959,1182,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2365,2368
INC0000152,2016-08-03 10:00:00,0,17,238,447,697,1,970,1180,1392,1,1,1,1479,1487,1489,1490,1,1694,1754,1756,1764,1777,1784,1847,2365,2368
INC0000153,2016-07-03 15:00:00,0,1,240,458,697,700,959,1172,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1862,2365,2368
INC0000155,2016-07-03 16:00:00,0,1,238,458,697,700,959,1189,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1,2365,2368
INC0000156,2016-07-03 16:00:00,0,1,244,468,697,700,959,1171,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2365,2368
INC0000158,2016-07-03 16:00:00,0,1,245,468,697,1,959,1190,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2364,2368
INC0000159,2016-07-03 11:00:00,1,1,238,452,697,1,960,1168,1393,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1764,1777,1790,1863,2366,2368
INC0000160,2016-05-03 11:00:00,0,14,241,453,697,1,984,1168,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1763,1777,1784,1844,2363,2368
INC0000161,2016-08-03 09:22:00,1,3,238,461,698,1,961,1187,1394,1,1,1,1481,1486,1488,1490,1,1687,1754,1758,1764,1779,1792,1853,2367,2368
INC0000164,2016-08-03 15:00:00,1,1,239,473,697,700,985,1191,1394,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1766,1777,1784,1844,2366,2368
INC0000166,2016-05-03 17:00:00,0,21,244,452,697,1,978,1172,1392,1,1,1,1479,1487,1489,1490,1,1692,1754,1756,1764,1777,1783,1864,2365,2368
INC0000167,2016-05-03 12:00:00,0,10,240,445,697,1,966,1172,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1782,1,2365,2368
INC0000168,2016-06-03 10:00:00,0,2,239,452,697,1,953,1173,1392,1,1,1,1479,1487,1488,1490,1,1678,1754,1756,1769,1777,1783,1865,2364,2368
INC0000169,2016-07-03 16:00:00,0,1,243,468,697,700,959,1172,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2364,2368
INC0000171,2016-04-03 17:52:00,1,1,238,452,697,1,986,1187,1394,1,1,1,1481,1486,1488,1490,1,1680,1754,1757,1769,1778,1790,1866,2366,2368
INC0000172,2016-05-03 19:00:00,1,28,238,470,697,1,987,1191,1393,1,1,1,1479,1487,1488,1490,1,1702,1754,1756,1764,1777,1794,1,2367,2368
INC0000173,2016-11-04 14:49:00,1,29,246,474,697,1,988,1192,1393,1,1,1,1481,1486,1488,1490,1,1689,1754,1758,1765,1779,1780,1842,2367,2368
INC0000174,2016-02-29 10:52:00,0,1,239,456,697,1,969,1180,1392,1,1,1,1477,1486,1488,1490,1,1677,1754,1756,1765,1777,1788,1842,2363,2368
INC0000176,2016-07-03 16:00:00,0,1,244,468,697,1,959,1171,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1784,1844,2364,2368
INC0000178,2016-05-03 12:00:00,0,1,238,475,697,1,966,1193,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1782,1868,2365,2368
INC0000179,2016-07-03 10:00:00,0,9,241,453,697,1,960,1168,1392,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1764,1777,1784,1844,2364,2368
INC0000192,2016-05-03 12:00:00,0,1,239,476,697,1,968,1168,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1763,1777,1786,1847,2364,2368
INC0000193,2016-06-03 17:00:00,1,30,243,461,697,1,989,1170,1393,1,1,1,1479,1487,1488,1490,1,1703,1754,1756,1764,1777,1792,1869,2366,2368
INC0000194,2016-05-03 12:00:00,0,1,238,455,697,1,964,1171,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1787,1847,2364,2368
INC0000195,2016-07-03 16:00:00,0,1,241,468,697,700,959,1194,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1761,1777,1784,1844,2365,2368
INC0000197,2016-09-03 11:46:00,1,1,239,476,697,1,978,1172,1397,1,1,1,1480,1486,1488,1490,1,1696,1754,1756,1769,1777,1786,1852,2367,2368
INC0000199,2016-05-03 12:00:00,0,27,245,459,698,1,986,1170,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1758,1766,1779,1787,1870,2363,2368
INC0000204,2016-05-03 17:00:00,0,1,244,447,698,1,956,1171,1392,1,1,1,1479,1487,1488,1490,1,1680,1754,1758,1771,1779,1784,1844,2365,2368
INC0000207,2016-05-03 21:00:00,0,32,239,452,697,1,990,1170,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1783,1841,2365,2368
INC0000211,2016-08-03 07:00:00,0,26,238,477,697,1,964,1171,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1794,1,2366,2368
INC0000213,2016-05-03 13:00:00,0,1,241,453,697,1,984,1195,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1763,1777,1784,1844,2365,2368
INC0000217,2016-08-03 09:27:00,1,3,245,478,697,1,961,1187,1394,1,1,1,1481,1486,1488,1490,1,1687,1754,1756,1764,1777,1792,1,2366,2368
INC0000218,2016-05-03 14:00:00,1,1,238,452,697,1,964,1171,1393,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1764,1777,1783,1,2366,2368
INC0000220,2016-09-03 17:24:00,1,33,241,453,697,1,956,1196,1393,1,1,1,1478,1486,1488,1490,1,1680,1754,1756,1764,1777,1784,1844,2366,2368
INC0000221,2016-07-03 15:00:00,1,34,239,479,697,1,991,1168,1393,1,1,1,1479,1487,1488,1490,1,1705,1754,1756,1769,1777,1791,1871,2365,2368
INC0000223,2016-08-03 09:00:00,1,35,241,453,697,1,992,1196,1393,1,1,1,1479,1487,1488,1490,1,1682,1754,1756,1765,1777,1784,1844,2367,2368
INC0000228,2016-05-03 17:00:00,0,21,245,462,697,1,978,1197,1392,1,1,1,1479,1487,1489,1490,1,1692,1754,1756,1766,1777,1793,1,2365,2368
INC0000230,2016-07-03 15:12:00,1,20,247,480,697,1,977,1173,1393,1,1,1,1478,1486,1488,1490,1,1685,1754,1756,1761,1777,1780,1872,2367,2368
INC0000232,2016-12-03 21:23:00,1,36,244,476,698,1,993,1168,1393,1,1,1,1478,1486,1488,1490,1,1677,1754,1758,1763,1779,1786,1844,2367,2368
INC0000236,2016-05-03 14:00:00,0,1,239,463,697,1,968,1172,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1763,1777,1786,1844,2365,2368
INC0000237,2016-06-03 15:00:00,0,31,243,476,697,1,983,1172,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1761,1777,1786,1844,2365,2368
INC0000246,2016-09-03 12:00:00,1,37,240,475,697,1,994,1172,1393,1,1,1,1479,1487,1488,1490,1,1692,1754,1756,1764,1777,1782,1845,2367,2368
INC0000250,2016-12-03 21:30:00,1,36,245,456,697,1,993,1173,1396,1,1,1,1478,1486,1488,1490,1,1677,1754,1756,1763,1777,1788,1,2367,2368
INC0000253,2016-07-03 10:00:00,1,1,247,462,697,1,957,1168,1393,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1764,1777,1793,1,2366,2368
INC0000257,2016-05-03 23:00:00,0,1,244,482,697,1,990,1198,1392,1,1,1,1479,1487,1488,1490,1,1684,1754,1756,1764,1777,1792,1842,2365,2368
INC0000259,2016-07-03 11:00:00,1,21,243,452,697,1,978,1172,1393,1,1,1,1479,1487,1488,1490,1,1692,1754,1756,1766,1777,1783,1842,2367,2368
INC0000260,2016-08-03 16:00:00,0,1,248,483,697,1,995,1180,1392,1,1,1,1479,1487,1488,1490,1,1707,1754,1756,1767,1777,1796,1847,2365,2368
INC0000261,2016-02-29 17:47:00,0,38,249,484,699,701,996,1199,1392,1,1,1,1478,1486,1489,1490,1,1708,1754,1759,1765,1778,1787,1855,2366,2368
INC0000262,2016-07-03 10:00:00,1,6,241,453,697,1,957,1168,1393,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1764,1777,1784,1844,2366,2368
INC0000265,2016-07-03 16:00:00,1,1,247,475,697,1,997,1194,1396,1,1,1,1479,1487,1488,1490,1,1707,1754,1756,1767,1777,1782,1872,2367,2368
INC0000266,2016-09-03 17:00:00,1,6,241,453,697,1,957,1168,1393,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1764,1777,1784,1844,2367,2368
INC0000268,2016-09-03 08:46:00,1,21,245,452,697,1,978,1200,1393,1,1,1,1480,1486,1488,1490,1,1692,1754,1756,1764,1777,1783,1844,2367,2368
INC0000269,2016-05-03 14:00:00,0,1,245,462,697,1,986,1172,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1769,1777,1793,1872,2363,2368
INC0000272,2016-08-03 15:35:00,1,1,250,484,697,1,998,1168,1396,1,1,1,1478,1486,1488,1490,1,1700,1754,1758,1764,1779,1787,1847,2367,2368
INC0000273,2016-09-03 15:00:00,1,18,241,447,697,1,972,1171,1393,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1764,1777,1784,1844,2366,2368
INC0000278,2016-05-03 15:00:00,0,39,242,485,697,1,999,1180,1392,1,1,1,1479,1487,1488,1490,1,1696,1754,1756,1764,1777,1786,1,2366,2368
INC0000279,2016-07-03 02:00:00,0,1,247,475,697,1,974,1172,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1770,1777,1782,1857,2365,2368
INC0000280,2016-07-03 19:57:00,1,1,245,445,697,1,990,1172,1397,1,1,1,1478,1486,1488,1490,1,1677,1754,1756,1764,1777,1782,1872,2367,2368
INC0000282,2016-08-03 13:00:00,0,1,241,453,697,1,966,1168,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1784,1844,2365,2368
INC0000283,2016-06-03 10:00:00,1,40,251,484,697,1,998,1180,1393,1,1,1,1479,1487,1488,1490,1,1700,1754,1756,1764,1777,1787,1,2367,2368
INC0000284,2016-07-03 12:00:00,0,6,243,486,697,1,957,1168,1392,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1764,1777,1784,1,2366,2368
INC0000285,2016-07-03 01:00:00,0,1,247,463,697,1,974,1194,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1786,1,2366,2368
INC0000286,2016-08-03 17:00:00,1,1,241,447,697,1,957,1168,1393,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1764,1777,1784,1844,2366,2368
INC0000290,2016-05-03 15:00:00,0,27,245,463,697,1,986,1170,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1761,1777,1786,1844,2363,2368
INC0000292,2016-07-03 10:00:00,1,9,244,445,698,1,960,1168,1395,1,1,1,1479,1487,1488,1490,1,1681,1754,1758,1764,1779,1782,1871,2367,2368
INC0000294,2016-11-03 14:57:00,1,42,252,445,697,1,1000,1170,1393,1,1,1,1480,1486,1488,1490,1,1679,1754,1756,1764,1777,1782,1847,2367,2369
INC0000295,2016-09-03 10:00:00,0,33,250,487,697,1,956,1171,1392,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1768,1777,1797,1862,2365,2368
INC0000297,2016-09-03 10:00:00,0,33,250,487,697,1,956,1171,1392,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1768,1777,1797,1862,2366,2368
INC0000298,2016-11-30 08:10:00,0,43,242,488,698,1,1001,1170,1392,1,1,1,1479,1487,1489,1490,1,1688,1755,1758,1764,1779,1784,1,2367,2368
INC0000301,2016-06-03 12:00:00,1,1,250,485,697,1,1002,1171,1393,1,1,1,1479,1487,1488,1490,1,1696,1754,1756,1764,1777,1786,1847,2366,2368
INC0000302,2016-10-03 10:40:00,1,18,247,489,697,1,961,1171,1393,1,1,1,1481,1486,1488,1490,1,1680,1754,1756,1764,1777,1798,1,2366,2368
INC0000303,2016-10-03 17:47:00,0,20,253,490,698,1,977,1168,1392,1,1,1,1482,1486,1488,1490,1497,1685,1754,1758,1763,1779,1784,1862,2366,2368
INC0000304,2016-08-03 16:00:00,0,33,250,447,697,1,956,1171,1392,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1764,1777,1784,1847,2366,2368
INC0000305,2016-09-03 15:00:00,1,6,250,447,697,1,957,1168,1393,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1764,1777,1784,1847,2367,2368
INC0000306,2016-07-03 17:00:00,0,1,243,477,697,1,959,1168,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1794,1847,2365,2368
INC0000307,2016-12-24 15:00:00,0,43,242,454,698,1,1001,1170,1392,1,1,1,1479,1487,1489,1490,1,1688,1755,1758,1764,1779,1786,1,2367,2368
INC0000310,2016-06-03 14:00:00,0,14,242,454,698,1,969,1170,1392,1,1,1,1479,1487,1488,1490,1,1688,1754,1758,1760,1779,1786,1,2365,2368
INC0000315,2016-07-03 09:12:00,1,1,251,477,697,1,967,1180,1393,1,1,1,1478,1486,1488,1490,1,1693,1754,1756,1772,1777,1794,1,2366,2368
INC0000317,2016-05-04 06:17:00,0,14,242,454,698,1,963,1170,1392,1,1,1,1481,1486,1488,1490,1498,1688,1754,1758,1764,1779,1786,1,2367,2368
INC0000318,2016-03-28 12:10:00,0,14,242,454,698,1,963,1170,1392,1,1,1,1481,1486,1488,1490,1,1688,1754,1758,1764,1779,1786,1,2367,2368
INC0000319,2016-07-03 16:00:00,1,30,243,461,697,1,989,1170,1393,1,1,1,1479,1487,1488,1490,1,1703,1754,1756,1764,1777,1792,1861,2365,2368
INC0000323,2016-05-03 15:00:00,0,1,247,475,697,1,1003,1171,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1768,1777,1782,1872,2363,2368
INC0000324,2016-06-21 10:00:00,0,45,254,491,698,1,1004,1171,1392,1,1,1,1479,1487,1489,1490,1,1709,1755,1758,1764,1777,1786,1873,2367,2368
INC0000325,2016-03-24 18:59:00,0,46,242,454,698,1,969,1170,1392,1,1,1,1479,1487,1488,1490,1,1688,1754,1758,1764,1779,1786,1,2367,2368
INC0000329,2016-04-03 14:48:00,1,1,245,484,697,1,957,1168,1396,1,1,1,1480,1486,1488,1490,1,1681,1754,1756,1764,1777,1787,1872,2367,2368
INC0000330,2016-03-24 18:59:00,0,46,242,454,698,1,969,1170,1392,1,1,1,1479,1487,1488,1490,1,1688,1754,1758,1763,1779,1786,1,2367,2368
INC0000332,2016-09-03 10:50:00,1,1,247,462,697,1,983,1201,1397,1,1,1,1481,1486,1488,1490,1,1677,1754,1756,1763,1777,1793,1858,2367,2368
INC0000333,2016-04-29 09:41:00,0,14,242,463,698,1,963,1170,1392,1,1,1,1478,1486,1489,1490,1,1688,1754,1758,1764,1779,1786,1,2367,2368
INC0000336,2016-10-03 17:27:00,0,14,242,454,698,1,963,1170,1392,1,1,1,1478,1486,1488,1490,1,1688,1754,1758,1764,1779,1786,1,2366,2368
INC0000337,2016-05-30 12:23:00,0,14,242,454,697,1,963,1170,1392,1,1,1,1478,1486,1489,1490,1,1688,1754,1756,1764,1777,1786,1,2367,2368
INC0000338,2016-10-04 14:59:00,0,46,242,454,698,1,963,1170,1392,1,1,1,1479,1487,1489,1490,1,1688,1754,1758,1764,1779,1786,1,2367,2368
INC0000339,2016-05-03 17:00:00,0,1,251,452,697,1,956,1180,1392,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1768,1777,1793,1,2364,2368
INC0000341,2016-07-08 15:00:00,0,12,242,454,699,702,1001,1170,1392,1,1,1,1479,1487,1489,1490,1,1688,1754,1759,1764,1778,1786,1,2367,2368
INC0000343,2016-12-27 10:00:00,0,45,254,491,698,1,1004,1170,1392,1,1,1,1479,1487,1489,1490,1,1709,1755,1758,1765,1777,1786,1875,2367,2368
INC0000345,2016-06-03 17:00:00,1,1,245,452,697,1,982,1171,1394,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1763,1777,1790,1872,2366,2368
